Set	Item	Addition	Subtraction	Disjuncitve Union	Intersection	Rotation	Completeness	Rules	mean	r.drop	b	a	Item Solution	Complete Item Code
4	39	1	0	0	0	1	0	2	0.75	0.51	-0.52	1.68	11011001000000000000	11100110000000000000,00110011000000000000,11111001000000000000,11001001000000000000,10101100000000000000,11100110000000000000,01010110000000000000,10010011000000000000,11011001000000000000
4	40	1	0	0	0	0	1	2	0.77	0.31	-1.08	0.99	00000000110100010000	00000000110000010000,00000000001000100000,00000000111001000000,00000000001101000000,00000000100000010000,00000000101100100000,00000000100100100000,00000000010001000000,00000000110100010000
5	41	0	1	1	0	0	0	2	0.33	0.41	0.89	1.49	10101110000000000000	11001110000000000000,01000010000000000000,10001100000000000000,11101111000000000000,01100011000000000000,10001100000000000000,11110111000000000000,01011001000000000000,10101110000000000000
5	42	0	1	0	1	0	0	2	0.5	0.59	0.28	2.12	00000000010100000001	00000000111100001100,00000000111000001010,00000000000100001000,00000000110000001110,00000000100000001010,00000000010000001010,00000000111100000011,00000000101000001101,00000000010100000001
5	43	0	1	0	0	1	0	2	0.6	0.29	-0.39	0.72	00000000100100001011	00000000110100000111,00000000000100001011,00000000110000001101,00000000011000001010,00000000001000000101,00000000010000001010,00000000111100001110,00000000011000000111,00000000100100001011
5	44	0	1	0	0	0	1	2	0.59	0.36	-0.24	0.9	00000000000000011000	00000000000001000011,00000000000000100001,00000000000000010010,00000000000000010111,00000000000000100111,00000000000001000000,00000000000000101110,00000000000001000110,00000000000000011000
5	45	0	0	1	1	0	0	2	0.44	0.64	0.45	2.97	00000100101100000000	00001111110000000000,00000011011000000000,00000011101000000000,00001010111000000000,00000111010100000000,00000010101100000000,00000110011100000000,00001100110000000000,00000100101100000000
6	46	0	0	1	0	1	0	2	0.74	0.4	-1.14	0.98	10100000000000001100	11000000000000001100,01100000000000000110,10100000000000000011,01100000000000001001,00110000000000001100,01010000000000000110,00110000000000000011,10010000000000001001,10100000000000001100
6	47	0	0	1	0	0	1	2	0.57	0.48	-0.1	1.27	00000000000001000101	00000000000001001010,00000000000010001100,00000000000000010110,00000000000000010011,00000000000001000110,00000000000010000101,00000000000010001100,00000000000000011001,00000000000001000101
6	48	0	0	0	1	1	0	2	0.38	0.32	0.84	0.83	00001011000100000000	00001110010000000000,00000111110000000000,00001011010000000000,00001011000100000000,00001101001100000000,00001110000100000000,00001110010100000000,00000111100100000000,00001011000100000000
6	49	0	0	0	1	0	1	2	0.66	0.37	-0.7	0.91	00001111000000001010	00001111000000001110,11110000000000001011,00000000000000001010,00000000000000001101,00001111000000000111,11110000000000000101,11110000000000001011,00000000000000001110,00001111000000001010
6	50	0	0	0	0	1	1	2	0.82	0.55	-1.13	1.76	01000000000000001111	10000000000000001111,01001111000000000000,00100000000010000000,01000000000010000000,00100000000000001111,00011111000000000000,00011111000000000000,10000000000010000000,01000000000000001111
7	51	1	1	0	0	0	0	2	0.72	0.46	-0.53	1.55	11011110000000000000	01101100000000000000,01000011000000000000,00101111000000000000,11100110000000000000,11000001000000000000,00100111000000000000,11111100000000000000,00100010000000000000,11011110000000000000
7	52	1	0	1	0	0	0	2	0.66	0.51	-0.26	1.79	00000000011000000111	00000000011000000110,00000000100100001000,00000000111100001110,00000000011100000011,00000000111000001100,00000000100100001111,00000000001100000001,00000000010100000110,00000000011000000111
7	53	1	0	0	1	0	0	2	0.49	0.47	0.26	1.63	01110000000000000000	11000000000000000110,00010000000000000010,11010000000000000010,10100000000000000111,01010000000000000010,11110000000000000010,01100000000000001100,00010000000000000011,01110000000000000000
7	54	1	0	0	0	1	0	2	0.86	0.4	-1.21	1.69	11000111000000000000	11001100000000000000,01100011000000000000,00111111000000000000,10010010000000000000,11001000000000000000,01101010000000000000,00110110000000000000,10010001000000000000,11000111000000000000
7	55	1	0	0	0	0	1	2	0.68	0.46	-0.39	1.58	10101011000000000000	10101100000000000000,00000010101000000000,00001110000001000000,00000101000001000000,10101000000000000000,00001101101000000000,00000011101000000000,00001000000001000000,10101011000000000000
8	56	0	1	1	0	0	0	2	0.72	0.6	-0.16	1.95	10001100000000000000	00011100000000000000,00010010000000000000,00001110000000000000,00110111000000000000,00100010000000000000,00010101000000000000,11001010000000000000,01000110000000000000,10001100000000000000
8	57	0	1	0	1	0	0	2	0.63	0.61	0.2	2.08	00000000000000001100	00000000011000001110,00000000001000000110,00000000010000000110,00000000111000001110,00000000100000000001,00000000011000000000,00000000001100001100,00000000001100001100,00000000000000001100
8	58	0	1	0	0	1	0	2	0.58	0.48	0.26	1.44	01011101000000000000	11100110000000000000,11000011000000000000,00101001000000000000,11111001000000000000,01111100000000000000,10000110000000000000,01110111000000000000,00101011000000000000,01011101000000000000
8	59	0	1	0	0	0	1	2	0.71	0.42	-0.41	1.13	01000000000001000000	11110000000001000000,00000000000000100000,11110000000001000000,11100000000001000000,01100000000001000000,10000000000000100000,01110000000000100000,00110000000001000000,01000000000001000000
8	60	0	0	1	1	0	0	2	0.7	0.7	0.04	2.76	00000000000000000001	11000000000000000110,01100000000000001001,10100000000000000000,01110000000000001110,01100000000000001010,00010000000000001010,11100000000000000111,11100000000000001001,00000000000000000001
9	61	0	0	1	0	1	0	2	0.14	0.41	1.37	1.62	00001110000100000000	00001100100000000000,00000100010000000000,00001000001000000000,00001111001000000000,00000101000100000000,00001010100000000000,00001100010000000000,00000010001000000000,00001110000100000000
9	62	0	0	1	0	0	1	2	0.29	0.53	0.6	1.77	00000000000000100100	00000000000000101100,00001111000000001010,11110000000000000110,11110000000000001101,00000000000000101100,00001111000000000001,00001111000000001000,11110000000000001100,00000000000000100100
9	63	0	0	0	1	1	0	2	0.28	0.46	0.79	1.28	10110000100000000000	10010000110000000000,11000000100100000000,10000000001100000000,11110000111000000000,11000000110100000000,11000000101100000000,10110000001000000000,11110000010000000000,10110000100000000000
9	64	0	0	0	1	0	1	2	0.35	0.51	0.45	1.36	00001111000100000000	00000000111110000000,00001111010000000000,11110000010000000000,00001111101100000000,11110000011100000000,00000000001110000000,11110000001100000000,00000000010110000000,00001111000100000000
9	65	0	0	0	0	1	1	2	0.87	0.34	-2.25	1.23	11000000000001000000	11000000000010000000,01100000000001000000,00110000000000100000,10010000000001000000,11000000000000100000,01100000000010000000,00110000000000100000,10010000000010000000,11000000000001000000
10	66	1	1	0	0	0	0	2	0.84	0.39	-0.58	1.7	10011010000000000000	11001111000000000000,00100010000000000000,11101101000000000000,10101100000000000000,00011000000000000000,10110100000000000000,10001110000000000000,00010100000000000000,10011010000000000000
10	67	1	0	1	0	0	0	2	0.9	0.44	-0.7	2.21	11110000000000001100	10000000000000001100,00010000000000000110,10010000000000001010,01010000000000000011,10000000000000000100,11010000000000000111,11000000000000001000,00110000000000000100,11110000000000001100
10	68	1	0	0	1	0	0	2	0.8	0.38	-0.41	1.74	00000000101100000100	00000000110000001010,00000000001000001100,00000000111000001000,00000000101000000010,00000000010100000010,00000000111100000010,00000000100000000101,00000000001100001100,00000000101100000100
10	69	1	0	0	0	1	0	2	0.78	0.24	-0.79	1.01	01110110000000000000	10000101000000000000,00010010000000000000,00100111000000000000,01101010000000000000,11000101000000000000,10011111000000000000,11010100000000000000,10110010000000000000,01110110000000000000
10	70	1	0	0	0	0	1	2	0.88	0.36	-0.8	1.78	11100000000001000000	01100000000000010000,00010000000001000000,01110000000000100000,10000000000001000000,01000000000000100000,11000000000000010000,01100000000000100000,10000000000000010000,11100000000001000000
1	71	1	1	1	0	0	0	3	0.73	0.4	-0.35	1.33	01110000100000001000	11000000011000001100,00100000001000000110,11100000010000001010,00100000101100000110,10000000001100000010,10100000100000000100,00110000110000000011,01000000010000001011,01110000100000001000
1	72	1	1	0	1	0	0	3	0.61	0.33	0.04	1.05	00001111010100010000	00000110101001010000,00001000101001000000,00001110000001000000,00000100001100010000,00000001000101000000,00000101001000000000,00000110110100010000,00001001100000010000,00001111010100010000
1	73	1	1	0	0	1	0	3	0.74	0.42	-0.37	1.39	11000110000000000100	10000110000000001100,00100011000000001100,10101001000000000000,00001110000000000011,00010111000000000001,00011011000000000010,11001001000000000110,00001100000000000010,11000110000000000100
1	74	1	1	0	0	0	1	3	0.91	0.47	-1.06	1.94	10100000000010000011	11000000000001001111,00110000000000100011,11110000000010001100,01100000000000100110,00010000000010000010,01110000000001000100,00100000000001001111,10000000000000101100,10100000000010000011
1	75	1	0	1	1	0	0	3	0.61	0.46	0.21	1.81	10100000111100000010	11000000110000000110,00100000110000001001,11100000000000000000,01110000011100001100,10000000001000001100,11110000010100001100,10000000011000000111,00100000100100000010,10100000111100000010
1	76	1	0	1	0	1	0	3	0.65	0.42	0.02	1.44	11001010110000000000	11000110110000000000,01101000001100000000,00111110111100000000,10011010001100000000,11000001010100000000,01101011011000000000,00110010101000000000,10011000011000000000,11001010110000000000
1	77	1	0	1	0	0	1	3	0.69	0.39	-0.2	1.34	10100000110101000000	11000000011001000000,11000000100000100000,00000000111000010000,01110000001101000000,01100000010000010000,00010000011100100000,11000000110000010000,01100000000100100000,10100000110101000000
1	78	1	0	0	1	1	0	3	0.78	0.56	-0.24	2.41	01111101001000000000	10111000100000000000,10100100010000000000,10101100001000000000,01100010001000000000,11100100000100000000,01100110100000000000,11110101100000000000,01111000010000000000,01111101001000000000
2	79	1	0	0	1	0	1	3	0.41	0.6	0.17	1.84	00011110000000100000	11100100000000100000,01100001000000010000,01100101000001000000,00111100000001000000,11000011000000100000,00001111000000010000,01111100000001000000,10010010000000010000,00011110000000100000
2	80	1	0	0	0	1	1	3	0.71	0.52	-1.12	1.46	11001111000000010000	01100101000001000000,00110010000000100000,10010111000000010000,10011100000001000000,11000010000000010000,01101110000000100000,00110011000000100000,10011100000001000000,11001111000000010000
2	81	0	1	1	1	0	0	3	0.57	0.71	-0.37	2.24	01100101001100000000	11111110111000000000,01000111101100000000,10111001101000000000,11101100010100000000,00100110110000000000,11001010010000000000,01111100111100000000,00011001001100000000,01100101001100000000
2	82	0	1	1	0	1	0	3	0.65	0.65	-0.72	1.94	10100001110000000000	11011100100000000000,10000110000100000000,01011010001000000000,11100111110000000000,01101100100100000000,10001011001100000000,11111110001100000000,01011111011000000000,10100001110000000000
2	83	0	1	1	0	0	1	3	0.56	0.56	-0.42	1.44	00111111001000000000	11101111110000000000,01100000010101000000,10000000100100100000,01100000111000100000,00101111101100000000,01000000010101000000,11110000110001000000,11000000111000100000,00111111001000000000
2	84	0	1	0	1	1	0	3	0.54	0.6	-0.32	1.62	10110111000000000000	11001110101000000000,10010010001000000000,00110010100000000000,10001100111100000000,00011011011100000000,00101000100000000000,11101111111000000000,11010111111000000000,10110111000000000000
2	85	0	1	0	1	0	1	3	0.63	0.72	-0.56	2.56	10011010000010000000	11011110000010000000,11001101000001000000,00011100000000010000,10111100000000010000,00010110000010000000,10100100000001000000,11111110000001000000,01101011000000010000,10011010000010000000
2	86	0	1	0	0	1	1	3	0.56	0.57	-0.39	1.49	10100010000001000000	11011100000001000000,00011001101000000000,11000011000000010000,01001110000000010000,01001101000001000000,00001011101000000000,11101000101000000000,01000001000000010000,10100010000001000000
3	87	0	0	1	1	1	0	3	0.47	0.64	0.33	2.05	01001010011100000000	11101100100100000000,10101001001100000000,10100101011000000000,11101101101000000000,01110110010100000000,01101011101000000000,11001110110100000000,01110100101100000000,01001010011100000000
3	88	0	0	1	1	0	1	3	0.33	0.48	0.89	1.36	01010100111100000000	11001110111100000000,01100111000010000000,10100110000000000000,10111000000000000000,01110101111100000000,11000000000010000000,11101100000010000000,10110110000000000000,01010100111100000000
3	89	0	0	0	1	1	1	3	0.58	0.65	-0.08	2	00110001000000100000	10100110000010000000,00110011000001000000,00101001000000100000,11111110000000100000,00000111000010000000,00001011000001000000,01110100000001000000,10110010000010000000,00110001000000100000
3	90	1	1	1	0	0	0	3	0.47	0.57	0.29	1.55	00001101110000001011	00001100111000001010,00000110001000001100,00001010110000001110,00000110101100000101,00001100100000000110,00001010001100000111,00001011111100000011,00000110001100001010,00001101110000001011
3	91	1	1	0	1	0	0	3	0.7	0.74	-0.45	3.02	11011000001000000000	11001111110000000000,00100010011100000000,11101101010000000000,01011110001100000000,00101000100100000000,01110110000100000000,10011100011000000000,01000100101000000000,11011000001000000000
3	92	1	1	0	0	1	0	3	0.62	0.49	-0.38	1.23	10000000011100000011	11100000010000001100,01000000000100000110,10100000010100000011,01010000110000000011,01000000000100001001,00010000110100001100,11000000001100001100,01000000010000000110,10000000011100000011
3	93	1	1	0	0	0	1	3	0.73	0.65	-0.66	2.28	00011111000001000000	11111010000001000000,10101100000000010000,01011110000010000000,11100110000010000000,01001000000001000000,10101110000000010000,00110011000000010000,00101100000010000000,00011111000001000000
3	94	1	0	1	1	0	0	3	0.56	0.62	-0.02	1.91	00001100101100001101	00001100110000001100,00000110100100000010,00000100010100001110,00000011011000000111,00001001101000001000,00000001110000001111,00001111011100000101,00001100110000001000,00001100101100001101
4	95	1	0	1	0	1	0	3	0.49	0.46	0.36	1.66	10010000110100001011	11000000110000001110,01100000011000000111,10100000111000001011,01100000001100001011,11000000010000001101,10100000011100001110,01010000110000001110,11000000000100000111,10010000110100001011
4	96	1	0	1	0	0	1	3	0.63	0.51	-0.05	1.83	00000111000001001110	00001100000001001010,00000110000000100110,00001110000000011100,00000111000000010011,00001000000001000110,00001111000000100101,00000101000000100110,00000010000000011000,00000111000001001110
4	97	1	0	0	1	1	0	3	0.61	0.51	0.04	1.94	11110000101100000011	11000000001100001100,00100000100100000110,11100000110000000100,00100000011000001111,10000000001100000000,10100000100100000000,01110000111000000011,10000000011100000111,11110000101100000011
4	98	1	0	0	1	0	1	3	0.68	0.49	-0.22	1.75	11100010000000010000	10101110000000100000,00011011000000010000,10111010000001000000,01000111000000010000,00011101000001000000,01010101000000100000,11100110000001000000,00101011000000100000,11100010000000010000
4	99	1	0	0	0	1	1	3	0.71	0.42	-0.43	1.48	00001111111000000101	00001111111000001100,00000000011100101010,00000000101100011110,00000000110100010011,00001111111000001000,00000000011100101011,00000000101100100100,00000000110100010001,00001111111000000101
4	100	0	1	1	1	0	0	3	0.62	0.56	0.03	2.17	10000000010000001010	11100000011000001110,00100000101100000111,11000000001000001001,10110000101100000111,00010000110100001101,10100000100100001010,11100000111000001100,01100000010000000110,10000000010000001010
4	101	0	1	1	0	1	0	3	0.68	0.61	-0.11	2.55	00000011001000000010	00001100111000001110,00000111010000001101,00001011101000001011,00001100111000001010,00000110011000000101,00001010100000001010,00001111011000001000,00001100010000000001,00000011001000000010
4	102	0	1	1	0	0	1	3	0.68	0.54	-0.14	2.16	01110000000010001010	11100000000010001111,11110000000000011101,00010000000000100010,11010000000000101100,01110000000010000100,10100000000000011000,11000000000000011111,10110000000000100101,01110000000010001010
5	103	0	1	0	1	1	0	3	0.52	0.55	0.21	1.7	10111000110000000000	10001111111100000000,00010111111100000000,00101000111100000000,01100111111000000000,11000001101100000000,10010110101000000000,11101100110000000000,11010100110100000000,10111000110000000000
5	104	0	1	0	1	0	1	3	0.46	0.52	0.41	1.66	00000000011010001010	00000000110000011111,00000000010110000010,00000000010000101101,00000000101010001100,00000000111100100100,00000000101000011000,00000000011100101110,00000000111000010100,00000000011010001010
5	105	0	1	0	0	1	1	3	0.76	0.49	-0.83	1.5	00100000100000010000	11000000111010000000,10010000010000010000,00110000101000100000,11100000011000010000,11010000001000100000,10110000010010000000,10000000111100100000,00010000011110000000,00100000100000010000
5	106	0	0	1	1	1	0	3	0.71	0.64	-0.41	2.26	00101111000000001010	11000110000000001100,10011001000000000101,00111111000000000100,01111110000000001110,11101011000000000101,11010101000000000100,10001100000000001110,00010011000000001010,00101111000000001010
5	107	0	0	1	1	0	1	3	0.69	0.62	-0.36	2.07	01000000000001000101	11100000000010001100,01100000000001000011,01100000000000101111,01110000000001001110,01010000000000100111,01010000000010001001,11100000000000101100,01000000000010001001,01000000000001000101
5	108	0	0	0	1	1	1	3	0.69	0.62	-0.38	2.04	00011010000000100000	11100100000010000000,01111000000000100000,01100001000000010000,10101110000000100000,01111101000000010000,00101011000010000000,10011010000010000000,00110101000000010000,00011010000000100000
5	109	1	1	1	0	0	0	3	0.71	0.68	-0.38	2.65	01001010000000001110	11000110000000001000,01001100000000000001,10001010000000001001,11100111000000000001,11000111000000001110,00100000000000001111,11011100000000000110,10010110000000001000,01001010000000001110
5	110	1	1	0	1	0	0	3	0.63	0.72	-0.07	3.09	11100110001000000000	01100110011100000000,10010010010100000000,11110100010100000000,01101111111100000000,00010110000000000000,01111001000000000000,11000111011000000000,00100001101100000000,11100110001000000000
6	111	1	1	0	0	1	0	3	0.53	0.53	0.13	1.63	11001010110100000000	10000110001100000000,10001000100100000000,00001110110000000000,01110111110000000000,00111000011000000000,01001111001100000000,11111000011100000000,00110010101100000000,11001010110100000000
6	112	1	1	0	0	0	1	3	0.82	0.57	-1.07	1.87	11111110000010000000	00011100000001000000,01000100000000100000,01011000000010000000,11001110000000100000,00101000000001000000,11100110000010000000,00111111000001000000,11000001000000100000,11111110000010000000
6	113	1	0	1	1	0	0	3	0.51	0.56	0.21	1.94	01100101110000000000	01100110111100000000,00011001000000000000,01111111000000000000,11000111011000000000,00101110111100000000,11101001011000000000,00100110111000000000,01000011110100000000,01100101110000000000
6	114	1	0	1	0	1	0	3	0.57	0.46	-0.1	1.2	10010011101100000000	11101100111100000000,01110011111100000000,10111111000000000000,00110010011100000000,10011100101100000000,11001110110000000000,01100010011100000000,00110001110000000000,10010011101100000000
6	115	1	0	1	0	0	1	3	0.71	0.64	-0.46	2.24	10000110000010000000	10100110000001000000,01010001000010000000,11110111000010000000,00111100000010000000,01100011000001000000,01011111000010000000,11100100000001000000,01100010000010000000,10000110000010000000
6	116	1	0	0	1	1	0	3	0.68	0.63	-0.35	2.12	11010011101000000000	10001110101000000000,11111011010100000000,11111010101000000000,01100110101000000000,00111100010100000000,01110100101000000000,11000011101000000000,00011111010100000000,11010011101000000000
6	117	1	0	0	1	0	1	3	0.73	0.64	-0.55	2.19	11111111000000100000	01100110000000010000,10010001000000010000,00000111000000100000,01111100000000010000,11000010000000100000,01001110000000010000,11111010000000010000,11110101000000010000,11111111000000100000
6	118	1	0	0	0	1	1	3	0.73	0.6	-0.58	1.98	01110111000000100000	00111100000001000000,11000110000000100000,11110011000000100000,00101110000000100000,10000111000001000000,10101011000000100000,00111101000001000000,01001110000000100000,01110111000000100000
7	119	0	1	1	1	0	0	3	0.49	0.5	0.28	1.93	10100101100000000000	11101110111000000000,01100100010000000000,01101010101000000000,11101100011100000000,01010110010100000000,01001010001000000000,11111110110000000000,10101011010000000000,10100101100000000000
7	120	0	1	1	0	1	0	3	0.55	0.53	0.12	1.93	10100000001100001100	11100000101000001110,00110000010100000100,11010000101000001010,10010000001100001100,11000000011000001000,01010000110000000100,11100000110000001111,01000000100100000011,10100000001100001100
